name,occupation,sun_sign,sun_house,sun_element,sun_modality,sun_aspects,sun_degree,sun_dispositor_traditional,sun_dispositor_traditional_temperament,sun_dispositor_modern,sun_dispositor_modern_temperament,sun_temperament,moon_sign,moon_house,moon_element,moon_modality,moon_aspects,moon_degree,moon_dispositor_traditional,moon_dispositor_traditional_temperament,moon_dispositor_modern,moon_dispositor_modern_temperament,moon_temperament,mercury_sign,mercury_house,mercury_element,mercury_modality,mercury_aspects,mercury_degree,mercury_dispositor_traditional,mercury_dispositor_traditional_temperament,mercury_dispositor_modern,mercury_dispositor_modern_temperament,mercury_temperament,venus_sign,venus_house,venus_element,venus_modality,venus_aspects,venus_degree,venus_dispositor_traditional,venus_dispositor_traditional_temperament,venus_dispositor_modern,venus_dispositor_modern_temperament,venus_temperament,mars_sign,mars_house,mars_element,mars_modality,mars_aspects,mars_degree,mars_dispositor_traditional,mars_dispositor_traditional_temperament,mars_dispositor_modern,mars_dispositor_modern_temperament,mars_temperament,jupiter_sign,jupiter_house,jupiter_element,jupiter_modality,jupiter_aspects,jupiter_degree,jupiter_dispositor_traditional,jupiter_dispositor_traditional_temperament,jupiter_dispositor_modern,jupiter_dispositor_modern_temperament,jupiter_temperament,saturn_sign,saturn_house,saturn_element,saturn_modality,saturn_aspects,saturn_degree,saturn_dispositor_traditional,saturn_dispositor_traditional_temperament,saturn_dispositor_modern,saturn_dispositor_modern_temperament,saturn_temperament,uranus_sign,uranus_house,uranus_element,uranus_modality,uranus_aspects,uranus_degree,uranus_dispositor_traditional,uranus_dispositor_traditional_temperament,uranus_dispositor_modern,uranus_dispositor_modern_temperament,uranus_temperament,neptune_sign,neptune_house,neptune_element,neptune_modality,neptune_aspects,neptune_degree,neptune_dispositor_traditional,neptune_dispositor_traditional_temperament,neptune_dispositor_modern,neptune_dispositor_modern_temperament,neptune_temperament,pluto_sign,pluto_house,pluto_element,pluto_modality,pluto_aspects,pluto_degree,pluto_dispositor_traditional,pluto_dispositor_traditional_temperament,pluto_dispositor_modern,pluto_dispositor_modern_temperament,pluto_temperament,temperament_choleric_count,temperament_sanguine_count,temperament_melancholic_count,temperament_phlegmatic_count,temperament_traditional_dispositor_choleric_count,temperament_traditional_dispositor_sanguine_count,temperament_traditional_dispositor_melancholic_count,temperament_traditional_dispositor_phlegmatic_count,temperament_modern_dispositor_choleric_count,temperament_modern_dispositor_sanguine_count,temperament_modern_dispositor_melancholic_count,temperament_modern_dispositor_phlegmatic_count,temperament_profile_primary,temperament_profile_primary_professions,temperament_profile_primary_challenges,ascendant_sign,ascendant_house,mc_sign,mc_house,sun_dispositor_traditional_element,sun_dispositor_modern_element,moon_dispositor_traditional_element,moon_dispositor_modern_element,mercury_dispositor_traditional_element,mercury_dispositor_modern_element,venus_dispositor_traditional_element,venus_dispositor_modern_element,mars_dispositor_traditional_element,mars_dispositor_modern_element,jupiter_dispositor_traditional_element,jupiter_dispositor_modern_element,saturn_dispositor_traditional_element,saturn_dispositor_modern_element,uranus_dispositor_traditional_element,uranus_dispositor_modern_element,neptune_dispositor_traditional_element,neptune_dispositor_modern_element,pluto_dispositor_traditional_element,pluto_dispositor_modern_element,element_traditional_dispositor_fire_count,element_modern_dispositor_fire_count,element_traditional_dispositor_earth_count,element_modern_dispositor_earth_count,element_traditional_dispositor_air_count,element_modern_dispositor_air_count,element_traditional_dispositor_water_count,element_modern_dispositor_water_count,element_traditional_dispositor_dominant,element_modern_dispositor_dominant
Albert Einstein,Scientist,Pisces,3,Water,Mutable,"[""Trine Moon""]",23.5,Jupiter,Sanguine,Neptune,Phlegmatic,Phlegmatic,Sagittarius,6,Fire,Mutable,"[""Opposition Sun""]",14.5,Jupiter,Sanguine,Jupiter,Sanguine,Choleric,Aries,4,Fire,Cardinal,[],17.3,Mars,Choleric,Mars,Choleric,Choleric,Aries,4,Fire,Cardinal,[],20.6,Mars,Choleric,Mars,Choleric,Choleric,Cancer,1,Water,Cardinal,"[""Square Sun""]",25.4,Moon,Phlegmatic,Moon,Phlegmatic,Phlegmatic,Sagittarius,10,Fire,Mutable,[],19.8,Jupiter,Sanguine,Jupiter,Sanguine,Choleric,Aquarius,12,Air,Fixed,[],23.4,Saturn,Melancholic,Uranus,Choleric,Sanguine,Taurus,9,Earth,Fixed,[],1.5,Venus,Sanguine,Venus,Sanguine,Melancholic,Capricorn,8,Earth,Cardinal,[],2.7,Saturn,Melancholic,Saturn,Melancholic,Melancholic,Cancer,2,Water,Cardinal,[],28.2,Moon,Phlegmatic,Moon,Phlegmatic,Phlegmatic,4,1,2,3,2,4,2,2,3,3,1,3,Choleric,Executivo visionário; Empreendedor; Líder militar,"Canalizar impulsividade, evitar autoritarismo e excesso de controle.",Scorpio,11,Aquarius,1,Fire,Earth,Fire,Fire,Water,Water,Water,Water,Fire,Fire,Fire,Fire,Air,Earth,Fire,Fire,Air,Air,Fire,Fire,6,5,0,2,2,1,2,2,fire,fire
Marie Curie,Scientist,Scorpio,1,Water,Fixed,[],15.2,Mars,Choleric,Pluto,Melancholic,Phlegmatic,Leo,10,Fire,Fixed,"[""Trine Sun""]",21.4,Sun,Choleric,Sun,Choleric,Choleric,Libra,12,Air,Cardinal,[],5.9,Venus,Sanguine,Venus,Sanguine,Sanguine,Virgo,11,Earth,Mutable,[],2.1,Mercury,Sanguine,Mercury,Sanguine,Melancholic,Sagittarius,2,Fire,Mutable,[],24.3,Jupiter,Sanguine,Jupiter,Sanguine,Choleric,Capricorn,3,Earth,Cardinal,[],7.7,Saturn,Melancholic,Saturn,Melancholic,Melancholic,Aries,8,Fire,Cardinal,[],4.2,Mars,Choleric,Mars,Choleric,Choleric,Taurus,4,Earth,Fixed,[],18.9,Venus,Sanguine,Venus,Sanguine,Melancholic,Pisces,6,Water,Mutable,[],12.5,Jupiter,Sanguine,Neptune,Phlegmatic,Phlegmatic,Cancer,9,Water,Cardinal,[],28.9,Moon,Phlegmatic,Moon,Phlegmatic,Phlegmatic,3,1,3,3,3,5,1,1,2,4,2,2,Choleric,Executivo visionário; Empreendedor; Líder militar,"Canalizar impulsividade, evitar autoritarismo e excesso de controle.",Virgo,3,Scorpio,1,Fire,Water,Water,Water,Earth,Earth,Air,Air,Earth,Earth,Fire,Fire,Fire,Fire,Earth,Earth,Earth,Water,Fire,Fire,4,3,4,3,1,1,1,3,fire,fire
Galileo Galilei,Scientist,Aquarius,3,Air,Fixed,[],25.7,Saturn,Melancholic,Uranus,Choleric,Sanguine,Pisces,4,Water,Mutable,[],10.8,Jupiter,Sanguine,Neptune,Phlegmatic,Phlegmatic,Aquarius,3,Air,Fixed,[],3.4,Saturn,Melancholic,Uranus,Choleric,Sanguine,Capricorn,2,Earth,Cardinal,[],22.0,Saturn,Melancholic,Saturn,Melancholic,Melancholic,Sagittarius,1,Fire,Mutable,[],8.6,Jupiter,Sanguine,Jupiter,Sanguine,Choleric,Gemini,7,Air,Mutable,[],4.3,Mercury,Sanguine,Mercury,Sanguine,Sanguine,Leo,11,Fire,Fixed,[],2.5,Sun,Choleric,Sun,Choleric,Choleric,Virgo,12,Earth,Mutable,[],17.1,Mercury,Sanguine,Mercury,Sanguine,Melancholic,Scorpio,2,Water,Fixed,[],27.4,Mars,Choleric,Pluto,Melancholic,Phlegmatic,Capricorn,4,Earth,Cardinal,[],15.8,Saturn,Melancholic,Saturn,Melancholic,Melancholic,2,3,3,2,2,4,4,0,3,3,3,1,Sanguine,Comunicador; Artista performático; Educador inspirador,"Manter foco, estruturar ideias e concretizar projetos de longo prazo.",Libra,10,Capricorn,4,Fire,Earth,Air,Water,Fire,Earth,Fire,Fire,Air,Air,Air,Air,Air,Air,Air,Air,Fire,Earth,Fire,Fire,5,2,0,3,5,4,0,1,fire,air
Leonardo da Vinci,Artist,Taurus,1,Earth,Fixed,[],0.2,Venus,Sanguine,Venus,Sanguine,Melancholic,Pisces,11,Water,Mutable,[],11.7,Jupiter,Sanguine,Neptune,Phlegmatic,Phlegmatic,Aries,12,Fire,Cardinal,[],15.1,Mars,Choleric,Mars,Choleric,Choleric,Gemini,2,Air,Mutable,[],12.4,Mercury,Sanguine,Mercury,Sanguine,Sanguine,Leo,4,Fire,Fixed,[],10.3,Sun,Choleric,Sun,Choleric,Choleric,Virgo,5,Earth,Mutable,[],22.8,Mercury,Sanguine,Mercury,Sanguine,Melancholic,Capricorn,9,Earth,Cardinal,[],1.8,Saturn,Melancholic,Saturn,Melancholic,Melancholic,Aquarius,10,Air,Fixed,[],22.4,Saturn,Melancholic,Uranus,Choleric,Sanguine,Pisces,11,Water,Mutable,[],10.2,Jupiter,Sanguine,Neptune,Phlegmatic,Phlegmatic,Aries,12,Fire,Cardinal,[],24.5,Mars,Choleric,Mars,Choleric,Choleric,3,2,3,2,3,5,2,0,4,3,1,2,Choleric,Executivo visionário; Empreendedor; Líder militar,"Canalizar impulsividade, evitar autoritarismo e excesso de controle.",Leo,6,Libra,8,Air,Air,Earth,Water,Fire,Fire,Fire,Fire,Earth,Earth,Fire,Fire,Earth,Earth,Earth,Air,Earth,Water,Fire,Fire,4,4,5,2,1,2,0,2,earth,fire
Michelangelo,Artist,Pisces,2,Water,Mutable,[],25.4,Jupiter,Sanguine,Neptune,Phlegmatic,Phlegmatic,Libra,9,Air,Cardinal,[],0.8,Venus,Sanguine,Venus,Sanguine,Sanguine,Aquarius,1,Air,Fixed,[],14.6,Saturn,Melancholic,Uranus,Choleric,Sanguine,Taurus,4,Earth,Fixed,[],12.2,Venus,Sanguine,Venus,Sanguine,Melancholic,Gemini,5,Air,Mutable,[],19.7,Mercury,Sanguine,Mercury,Sanguine,Sanguine,Virgo,8,Earth,Mutable,[],21.5,Mercury,Sanguine,Mercury,Sanguine,Melancholic,Sagittarius,11,Fire,Mutable,[],14.1,Jupiter,Sanguine,Jupiter,Sanguine,Choleric,Capricorn,12,Earth,Cardinal,[],1.2,Saturn,Melancholic,Saturn,Melancholic,Melancholic,Aquarius,1,Air,Fixed,[],21.9,Saturn,Melancholic,Uranus,Choleric,Sanguine,Pisces,2,Water,Mutable,[],4.0,Jupiter,Sanguine,Neptune,Phlegmatic,Phlegmatic,1,4,3,2,0,7,3,0,2,5,1,2,Sanguine,Comunicador; Artista performático; Educador inspirador,"Manter foco, estruturar ideias e concretizar projetos de longo prazo.",Scorpio,7,Sagittarius,8,Earth,Air,Earth,Earth,Fire,Earth,Earth,Earth,Air,Air,Air,Air,Earth,Earth,Fire,Fire,Fire,Earth,Earth,Air,3,1,5,5,2,4,0,0,earth,earth
Frida Kahlo,Artist,Cancer,7,Water,Cardinal,[],24.2,Moon,Phlegmatic,Moon,Phlegmatic,Phlegmatic,Taurus,5,Earth,Fixed,[],4.5,Venus,Sanguine,Venus,Sanguine,Melancholic,Gemini,6,Air,Mutable,[],12.8,Mercury,Sanguine,Mercury,Sanguine,Sanguine,Cancer,7,Water,Cardinal,[],16.7,Moon,Phlegmatic,Moon,Phlegmatic,Phlegmatic,Leo,8,Fire,Fixed,[],13.6,Sun,Choleric,Sun,Choleric,Choleric,Libra,10,Air,Cardinal,[],28.1,Venus,Sanguine,Venus,Sanguine,Sanguine,Capricorn,1,Earth,Cardinal,[],26.4,Saturn,Melancholic,Saturn,Melancholic,Melancholic,Aquarius,2,Air,Fixed,[],9.6,Saturn,Melancholic,Uranus,Choleric,Sanguine,Pisces,3,Water,Mutable,[],15.7,Jupiter,Sanguine,Neptune,Phlegmatic,Phlegmatic,Aries,4,Fire,Cardinal,[],5.2,Mars,Choleric,Mars,Choleric,Choleric,2,3,2,3,2,4,2,2,3,3,1,3,Sanguine,Comunicador; Artista performático; Educador inspirador,"Manter foco, estruturar ideias e concretizar projetos de longo prazo.",Scorpio,11,Capricorn,1,Earth,Earth,Water,Water,Air,Air,Earth,Earth,Water,Water,Water,Water,Earth,Earth,Earth,Air,Air,Water,Fire,Fire,1,1,4,3,2,2,3,4,earth,water
