name,occupation,birthdate,bplace_name,bplace_lat,bplace_lon
Albert Einstein,Scientist,1879-03-14,"Ulm, Germany",48.4011,9.9876
Marie Curie,Scientist,1867-11-07,"Warsaw, Poland",52.2297,21.0122
Galileo Galilei,Scientist,1564-02-15,"Pisa, Italy",43.7228,10.4017
Leonardo da Vinci,Artist,1452-04-15,"Vinci, Italy",43.7832,10.924
Michelangelo,Artist,1475-03-06,"Caprese Michelangelo, Italy",43.6333,11.9833
Frida Kahlo,Artist,1907-07-06,"Coyoacán, Mexico",19.3437,-99.1562
